ZaporednaStevilkaPN;KlasifikacijaNesrece;UpravnaEnotaStoritve;DatumPN;UraPN;VNaselju;Lokacija;VrstaCesteNaselja;SifraCesteNaselja;TekstCesteNaselja;SifraOdsekaUlice;TekstOdsekaUlice;StacionazaDogodka;OpisKraja;VzrokNesrece;TipNesrece;VremenskeOkoliscine;StanjePrometa;StanjeVozisca;VrstaVozisca;GeoKoordinataX;GeoKoordinataY;ZaporednaStevilkaOsebeVPN;Povzrocitelj;Starost;Spol;UEStalnegaPrebivalisca;Drzavljanstvo;PoskodbaUdelezenca;VrstaUdelezenca;UporabaVarnostnegaPasu;VozniskiStazVLetih;VozniskiStazVMesecih;VrednostAlkotesta;VrednostStrokovnegaPregleda
7;Z MATERIALNO ŠKODO;PESNICA;02.01.2019;19;DA;NASELJE;NASELJE BREZ ULIÈNEGA SISTEMA;65055;VRANJI VRH;0;NI ODSEKOV;21;CESTA;NEPRAVILNA STRAN / SMER VOŽNJE;BOÈNO TRÈENJE;OBLAÈNO;NORMALEN;SPOLZKO;HRAPAV  ASFALT / BETON;172655;556510;1;POVZROÈITELJ;58;MOŠKI;PESNICA;SLOVENIJA;BREZ POŠKODBE;VOZNIK OSEBNEGA AVTOMOBILA;DA;27;0;,00;,00
8;S SMRTNIM IZIDOM;TOLMIN;01.01.2019;5;NE;CESTA;LOKALNA CESTA;97518;POLJUBINJ- ŽABÈE- ZADLAZ;0;NI ODSEKOV;4000;CESTA;NEPRAVILNA STRAN / SMER VOŽNJE;PREVRNITEV VOZILA;JASNO;REDEK;MOKRO;HRAPAV  ASFALT / BETON;117847;404163;1;POVZROÈITELJ;43;MOŠKI;TOLMIN;SLOVENIJA;SMRT;VOZNIK OSEBNEGA AVTOMOBILA;NE;25;05;,00;1,63
9;Z MATERIALNO ŠKODO;DOMŽALE;01.01.2019;4;DA;NASELJE;NASELJE Z ULIÈNIM SISTEMOM;06020;DOMŽALE;00048;SAVSKA CESTA;54;CESTA;NEPRILAGOJENA HITROST;OSTALO;JASNO;NORMALEN;MOKRO;ZGLAJEN ASFALT / BETON;108907;468986;1;POVZROÈITELJ;61;MOŠKI;DOMŽALE;SLOVENIJA;BREZ POŠKODBE;VOZNIK OSEBNEGA AVTOMOBILA;NEZNANO;43;02;,00;,00
10;Z MATERIALNO ŠKODO;SLOVENSKA BISTRICA;01.01.2019;6;NE;CESTA;GLAVNA CESTA;00002;SLOV.BISTRICA-SRED. OB DR;00392;PRAGERSKO - ŠIKOLE;1500;CESTA;NEPRAVILNA STRAN / SMER VOŽNJE;OPLAŽENJE;JASNO;REDEK;MOKRO;HRAPAV  ASFALT / BETON;140438;551416;1;POVZROÈITELJ;48;MOŠKI;PTUJ;SLOVENIJA;BREZ POŠKODBE;VOZNIK OSEBNEGA AVTOMOBILA;DA;30;03;,63;,00
11;Z LAŽJO TELESNO POŠKODBO;KOPER;02.01.2019;15;NE;CESTA;REGIONALNA CESTA III. REDA;00623;KASTELEC - PODGORJE;03718;KASTELEC-PODGORJE;6;CESTA;NEPRAVILNA STRAN / SMER VOŽNJE;BOÈNO TRÈENJE;JASNO;NORMALEN;SUHO;ZGLAJEN ASFALT / BETON;47958;412387;1;POVZROÈITELJ;51;MOŠKI;KOPER;SLOVENIJA;BREZ POŠKODBE;VOZNIK OSEBNEGA AVTOMOBILA;DA;18;11;,55;,00
11;Z LAŽJO TELESNO POŠKODBO;KOPER;02.01.2019;15;NE;CESTA;REGIONALNA CESTA III. REDA;00623;KASTELEC - PODGORJE;03718;KASTELEC-PODGORJE;6;CESTA;NEPRAVILNA STRAN / SMER VOŽNJE;BOÈNO TRÈENJE;JASNO;NORMALEN;SUHO;ZGLAJEN ASFALT / BETON;47958;412387;2;UDELEŽENEC;30;ŽENSKI;IZOLA;SLOVENIJA;LAŽJA TELESNA POŠKODBA;VOZNIK OSEBNEGA AVTOMOBILA;DA;12;01;,00;,00
12;Z LAŽJO TELESNO POŠKODBO;NOVO MESTO;01.01.2019;21;DA;NASELJE;NASELJE Z ULIÈNIM SISTEMOM;38201;NOVO MESTO;00036;LJUBLJANSKA CESTA;12;CESTA;NEPRAVILNA STRAN / SMER VOŽNJE;PREVRNITEV VOZILA;JASNO;REDEK;SUHO;HRAPAV  ASFALT / BETON;73970;512611;1;POVZROÈITELJ;36;MOŠKI;NOVO MESTO;SLOVENIJA;LAŽJA TELESNA POŠKODBA;VOZNIK OSEBNEGA AVTOMOBILA;DA;0;0;,00;,00
13;Z MATERIALNO ŠKODO;TOLMIN;02.01.2019;9;NE;CESTA;GLAVNA CESTA II. REDA;00102;ROBIÈ-IDRIJA-LOGATEC;01006;IDRSKO-PERŠETI;7600;CESTA;PREMIKI Z VOZILOM;BOÈNO TRÈENJE;JASNO;NORMALEN;MOKRO;HRAPAV  ASFALT / BETON;118688;398019;1;POVZROÈITELJ;33;MOŠKI;;NEMÈIJA;BREZ POŠKODBE;VOZNIK OSEBNEGA AVTOMOBILA;DA;15;07;,00;,00
13;Z MATERIALNO ŠKODO;TOLMIN;02.01.2019;9;NE;CESTA;GLAVNA CESTA II. REDA;00102;ROBIÈ-IDRIJA-LOGATEC;01006;IDRSKO-PERŠETI;7600;CESTA;PREMIKI Z VOZILOM;BOÈNO TRÈENJE;JASNO;NORMALEN;MOKRO;HRAPAV  ASFALT / BETON;118688;398019;2;UDELEŽENEC;50;MOŠKI;TOLMIN;SLOVENIJA;BREZ POŠKODBE;VOZNIK OSEBNEGA AVTOMOBILA;DA;32;03;,00;,00
14;Z MATERIALNO ŠKODO;TOLMIN;02.01.2019;10;NE;CESTA;GLAVNA CESTA II. REDA;00102;ROBIÈ-IDRIJA-LOGATEC;01006;IDRSKO-PERŠETI;7650;CESTA;NEUSTREZNA VARNOSTNA RAZDALJA;TRÈENJE V STOJEÈE / PARKIRANO VOZILO;JASNO;NORMALEN;MOKRO;HRAPAV  ASFALT / BETON;118675;398067;1;POVZROÈITELJ;67;MOŠKI;TOLMIN;SLOVENIJA;BREZ POŠKODBE;VOZNIK OSEBNEGA AVTOMOBILA;DA;37;10;,00;,00
