ZaporednaStevilkaPN;KlasifikacijaNesrece;UpravnaEnotaStoritve;DatumPN;UraPN;VNaselju;Lokacija;VrstaCesteNaselja;SifraCesteNaselja;TekstCesteNaselja;SifraOdsekaUlice;TekstOdsekaUlice;StacionazaDogodka;OpisKraja;VzrokNesrece;TipNesrece;VremenskeOkoliscine;StanjePrometa;StanjeVozisca;VrstaVozisca;GeoKoordinataX;GeoKoordinataY;ZaporednaStevilkaOsebeVPN;Povzrocitelj;Starost;Spol;UEStalnegaPrebivalisca;Drzavljanstvo;PoskodbaUdelezenca;VrstaUdelezenca;UporabaVarnostnegaPasu;VozniskiStazVLetih;VozniskiStazVMesecih;VrednostAlkotesta;VrednostStrokovnegaPregleda
347;Z MATERIALNO ŠKODO;LJUBLJANA;11.01.2019;22;NE;CESTA;AVTOCESTA;000A2;KARAVANKE-LJ-NM-OBREŽJE;00620;LJ MALENCE - ŠMARJE-SAP;3500;CESTA;NEPRILAGOJENA HITROST;TRÈENJE V OBJEKT;JASNO;REDEK;SUHO;ZGLAJEN ASFALT / BETON;94817;468408;1;POVZROÈITELJ;26;MOŠKI;KAMNIK;SLOVENIJA;BREZ POŠKODBE;VOZNIK OSEBNEGA AVTOMOBILA;DA;08;04;,00;,00
348;Z MATERIALNO ŠKODO;PTUJ;11.01.2019;14;NE;CESTA;REGIONALNA CESTA II. REDA;00454;MIKLAVŽ-HAJDINA-ZLATOLIÈJ;00427;PRIKLJUÈEK HAJDINA;0;CESTA;NEUSTREZNA VARNOSTNA RAZDALJA;NALETNO TRÈENJE;JASNO;NORMALEN;SUHO;HRAPAV  ASFALT / BETON;141323;564626;1;POVZROÈITELJ;36;ŽENSKI;MARIBOR;SLOVENIJA;BREZ POŠKODBE;VOZNIK OSEBNEGA AVTOMOBILA;DA;17;08;,00;,00
348;Z MATERIALNO ŠKODO;PTUJ;11.01.2019;14;NE;CESTA;REGIONALNA CESTA II. REDA;00454;MIKLAVŽ-HAJDINA-ZLATOLIÈJ;00427;PRIKLJUÈEK HAJDINA;0;CESTA;NEUSTREZNA VARNOSTNA RAZDALJA;NALETNO TRÈENJE;JASNO;NORMALEN;SUHO;HRAPAV  ASFALT / BETON;141323;564626;2;UDELEŽENEC;52;MOŠKI;PTUJ;SLOVENIJA;BREZ POŠKODBE;VOZNIK OSEBNEGA AVTOMOBILA;DA;31;02;,00;,00
349;Z MATERIALNO ŠKODO;LJUBLJANA;13.01.2019;6;NE;CESTA;AVTOCESTA;000A1;ŠENTILJ-MB-CE-LJ-PO-SRMIN;00051;LJ KOZARJE-BREZOVICA;1400;CESTA;OSTALO;OSTALO;OBLAÈNO;REDEK;SUHO;HRAPAV  ASFALT / BETON;98601;457416;1;UDELEŽENEC;49;MOŠKI;IDRIJA;SLOVENIJA;BREZ POŠKODBE;VOZNIK OSEBNEGA AVTOMOBILA;DA;30;09;,00;,00
350;Z MATERIALNO ŠKODO;PIRAN;11.01.2019;10;DA;NASELJE;NASELJE Z ULIÈNIM SISTEMOM;40002;LUCIJA;00023;CESTA SOLINARJEV;1;PARKIRNI PROSTOR;PREMIKI Z VOZILOM;OPLAŽENJE;JASNO;NORMALEN;SUHO;HRAPAV  ASFALT / BETON;40975;391132;1;UDELEŽENEC;23;ŽENSKI;IZOLA;SLOVENIJA;BREZ POŠKODBE-UZ;VOZNIK OSEBNEGA AVTOMOBILA;DA;0;0;,00;,00
350;Z MATERIALNO ŠKODO;PIRAN;11.01.2019;10;DA;NASELJE;NASELJE Z ULIÈNIM SISTEMOM;40002;LUCIJA;00023;CESTA SOLINARJEV;1;PARKIRNI PROSTOR;PREMIKI Z VOZILOM;OPLAŽENJE;JASNO;NORMALEN;SUHO;HRAPAV  ASFALT / BETON;40975;391132;2;POVZROÈITELJ;60;ŽENSKI;PIRAN;SLOVENIJA;BREZ POŠKODBE;VOZNIK OSEBNEGA AVTOMOBILA;NEZNANO;04;09;,00;,00
351;Z MATERIALNO ŠKODO;KRANJ;05.01.2019;10;DA;NASELJE;NASELJE Z ULIÈNIM SISTEMOM;18035;KRANJ;00006;CESTA 1. MAJA;77;PARKIRNI PROSTOR;PREMIKI Z VOZILOM;OPLAŽENJE;JASNO;NORMALEN;SUHO;HRAPAV  ASFALT / BETON;121073;451579;1;UDELEŽENEC;25;ŽENSKI;KRANJ;SLOVENIJA;BREZ POŠKODBE;OSTALO;NE;0;0;,00;,00
352;Z MATERIALNO ŠKODO;KRANJ;12.01.2019;22;DA;NASELJE;NASELJE Z ULIÈNIM SISTEMOM;18035;KRANJ;00010;CESTA STANETA ŽAGARJA;65;CESTA;NEPRAVILNA STRAN / SMER VOŽNJE;OPLAŽENJE;OBLAÈNO;REDEK;SUHO;ZGLAJEN ASFALT / BETON;122161;452165;1;UDELEŽENEC;43;MOŠKI;KRANJ;SLOVENIJA;BREZ POŠKODBE;VOZNIK OSEBNEGA AVTOMOBILA;DA;0;0;,00;,00
353;Z MATERIALNO ŠKODO;TRŽIÈ;14.01.2019;9;DA;NASELJE;NASELJE BREZ ULIÈNEGA SISTEMA;58020;PODLJUBELJ;0;NI ODSEKOV;216;CESTA;OSTALO;PREVRNITEV VOZILA;JASNO;REDEK;POLEDENELO - POSIPANO;HRAPAV  ASFALT / BETON;140898;446358;1;UDELEŽENEC;20;MOŠKI;TRŽIÈ;SLOVENIJA;BREZ POŠKODBE;VOZNIK OSEBNEGA AVTOMOBILA;DA;02;06;,00;,00
354;Z LAŽJO TELESNO POŠKODBO;ŠKOFJA LOKA;14.01.2019;8;DA;NASELJE;NASELJE BREZ ULIÈNEGA SISTEMA;53120;RETEÈE;0;NI ODSEKOV;34;CESTA;NEPRILAGOJENA HITROST;NALETNO TRÈENJE;JASNO;GOST;MOKRO;ZGLAJEN ASFALT / BETON;112740;451516;1;UDELEŽENEC;32;MOŠKI;DOMŽALE;SLOVENIJA;LAŽJA TELESNA POŠKODBA;VOZNIK OSEBNEGA AVTOMOBILA;DA;0;0;,00;,00
354;Z LAŽJO TELESNO POŠKODBO;ŠKOFJA LOKA;14.01.2019;8;DA;NASELJE;NASELJE BREZ ULIÈNEGA SISTEMA;53120;RETEÈE;0;NI ODSEKOV;34;CESTA;NEPRILAGOJENA HITROST;NALETNO TRÈENJE;JASNO;GOST;MOKRO;ZGLAJEN ASFALT / BETON;112740;451516;2;POVZROÈITELJ;21;MOŠKI;IDRIJA;SLOVENIJA;BREZ POŠKODBE;VOZNIK OSEBNEGA AVTOMOBILA;DA;00;03;,00;,00
354;Z LAŽJO TELESNO POŠKODBO;ŠKOFJA LOKA;14.01.2019;8;DA;NASELJE;NASELJE BREZ ULIÈNEGA SISTEMA;53120;RETEÈE;0;NI ODSEKOV;34;CESTA;NEPRILAGOJENA HITROST;NALETNO TRÈENJE;JASNO;GOST;MOKRO;ZGLAJEN ASFALT / BETON;112740;451516;3;UDELEŽENEC;41;MOŠKI;DOMŽALE;SLOVENIJA;BREZ POŠKODBE;VOZNIK OSEBNEGA AVTOMOBILA;DA;0;0;,00;,00
355;Z MATERIALNO ŠKODO;MARIBOR;12.01.2019;11;DA;NASELJE;NASELJE Z ULIÈNIM SISTEMOM;64033;MARIBOR;00177;KARDELJEVA CESTA;68;CESTA;PREMIKI Z VOZILOM;TRÈENJE V OBJEKT;JASNO;NORMALEN;SUHO;HRAPAV  ASFALT / BETON;155547;548915;1;POVZROÈITELJ;32;MOŠKI;PTUJ;SLOVENIJA;BREZ POŠKODBE;VOZNIK OSEBNEGA AVTOMOBILA;DA;08;03;,06;,00
356;Z LAŽJO TELESNO POŠKODBO;MARIBOR;10.01.2019;12;DA;NASELJE;NASELJE Z ULIÈNIM SISTEMOM;64033;MARIBOR;00581;ULICA MATIJE MURKA;11;CESTA;NEUPOŠTEVANJE PRAVIL O PREDNOSTI;ÈELNO TRÈENJE;OBLAÈNO;NORMALEN;MOKRO;HRAPAV  ASFALT / BETON;155038;549129;1;POVZROÈITELJ;68;MOŠKI;MARIBOR;SLOVENIJA;BREZ POŠKODBE;VOZNIK OSEBNEGA AVTOMOBILA;DA;36;06;,00;,00
356;Z LAŽJO TELESNO POŠKODBO;MARIBOR;10.01.2019;12;DA;NASELJE;NASELJE Z ULIÈNIM SISTEMOM;64033;MARIBOR;00581;ULICA MATIJE MURKA;11;CESTA;NEUPOŠTEVANJE PRAVIL O PREDNOSTI;ÈELNO TRÈENJE;OBLAÈNO;NORMALEN;MOKRO;HRAPAV  ASFALT / BETON;155038;549129;2;UDELEŽENEC;20;ŽENSKI;MARIBOR;SLOVENIJA;LAŽJA TELESNA POŠKODBA;VOZNIK OSEBNEGA AVTOMOBILA;DA;01;03;,00;,00
357;Z MATERIALNO ŠKODO;LJUBLJANA;11.01.2019;11;DA;NASELJE;NASELJE Z ULIÈNIM SISTEMOM;25001;LJUBLJANA;25107;NJEGOŠEVA CESTA;1;CESTA;PREMIKI Z VOZILOM;OPLAŽENJE;JASNO;NORMALEN;SUHO;HRAPAV  ASFALT / BETON;101106;463138;1;UDELEŽENEC;46;ŽENSKI;LJUBLJANA;SLOVENIJA;BREZ POŠKODBE;VOZNIK OSEBNEGA AVTOMOBILA;DA;27;01;,00;,00
357;Z MATERIALNO ŠKODO;LJUBLJANA;11.01.2019;11;DA;NASELJE;NASELJE Z ULIÈNIM SISTEMOM;25001;LJUBLJANA;25107;NJEGOŠEVA CESTA;1;CESTA;PREMIKI Z VOZILOM;OPLAŽENJE;JASNO;NORMALEN;SUHO;HRAPAV  ASFALT / BETON;101106;463138;2;POVZROÈITELJ;26;MOŠKI;LJUBLJANA;SLOVENIJA;BREZ POŠKODBE;VOZNIK OSEBNEGA AVTOMOBILA;DA;0;0;,00;,00
358;Z MATERIALNO ŠKODO;CELJE;12.01.2019;3;DA;NASELJE;NASELJE BREZ ULIÈNEGA SISTEMA;03009;BREZOVA;0;NI ODSEKOV;21;CESTA;NEPRAVILNA STRAN / SMER VOŽNJE;TRÈENJE V OBJEKT;JASNO;REDEK;MOKRO;ZGLAJEN ASFALT / BETON;128403;521241;1;POVZROÈITELJ;37;MOŠKI;CELJE;SLOVENIJA;BREZ POŠKODBE;VOZNIK OSEBNEGA AVTOMOBILA;DA;14;10;,70;,00
359;Z MATERIALNO ŠKODO;LJUBLJANA;11.01.2019;18;DA;NASELJE;NASELJE Z ULIÈNIM SISTEMOM;28181;VNANJE GORICE;00012;PODPEŠKA CESTA;133;CESTA;NEPRAVILNA STRAN / SMER VOŽNJE;TRÈENJE V STOJEÈE / PARKIRANO VOZILO;JASNO;REDEK;SUHO;HRAPAV  ASFALT / BETON;96430;454918;1;POVZROÈITELJ;70;ŽENSKI;LJUBLJANA;SLOVENIJA;BREZ POŠKODBE;VOZNIK OSEBNEGA AVTOMOBILA;DA;28;02;,89;,00
359;Z MATERIALNO ŠKODO;LJUBLJANA;11.01.2019;18;DA;NASELJE;NASELJE Z ULIÈNIM SISTEMOM;28181;VNANJE GORICE;00012;PODPEŠKA CESTA;133;CESTA;NEPRAVILNA STRAN / SMER VOŽNJE;TRÈENJE V STOJEÈE / PARKIRANO VOZILO;JASNO;REDEK;SUHO;HRAPAV  ASFALT / BETON;96430;454918;2;UDELEŽENEC;57;MOŠKI;LJUBLJANA;SLOVENIJA;BREZ POŠKODBE;VOZNIK OSEBNEGA AVTOMOBILA;DA;39;03;,00;,00
360;Z MATERIALNO ŠKODO;VRHNIKA;11.01.2019;14;NE;CESTA;AVTOCESTA;000A1;ŠENTILJ-MB-CE-LJ-PO-SRMIN;00652;BREZOVICA-VRHNIKA;8500;CESTA;OSTALO;OSTALO;JASNO;NORMALEN;SUHO;HRAPAV  ASFALT / BETON;94838;448849;1;UDELEŽENEC;38;MOŠKI;CERKNICA;SLOVENIJA;BREZ POŠKODBE;VOZNIK OSEBNEGA AVTOMOBILA;DA;19;02;,00;,00
360;Z MATERIALNO ŠKODO;VRHNIKA;11.01.2019;14;NE;CESTA;AVTOCESTA;000A1;ŠENTILJ-MB-CE-LJ-PO-SRMIN;00652;BREZOVICA-VRHNIKA;8500;CESTA;OSTALO;OSTALO;JASNO;NORMALEN;SUHO;HRAPAV  ASFALT / BETON;94838;448849;2;UDELEŽENEC;39;MOŠKI;DOMŽALE;BOSNA IN HERCEGOVINA;BREZ POŠKODBE;VOZNIK TOVORNEGA VOZILA;DA;12;00;,00;,00
361;Z LAŽJO TELESNO POŠKODBO;LJUBLJANA;11.01.2019;15;DA;NASELJE;NASELJE Z ULIÈNIM SISTEMOM;25001;LJUBLJANA;26010;GORTANOVA ULICA;22;CESTA;PREMIKI Z VOZILOM;POVOŽENJE PEŠCA;OBLAÈNO;NORMALEN;SUHO;HRAPAV  ASFALT / BETON;100837;464203;1;POVZROÈITELJ;21;ŽENSKI;LJUBLJANA;SLOVENIJA;BREZ POŠKODBE;VOZNIK OSEBNEGA AVTOMOBILA;DA;03;06;,00;,00
361;Z LAŽJO TELESNO POŠKODBO;LJUBLJANA;11.01.2019;15;DA;NASELJE;NASELJE Z ULIÈNIM SISTEMOM;25001;LJUBLJANA;26010;GORTANOVA ULICA;22;CESTA;PREMIKI Z VOZILOM;POVOŽENJE PEŠCA;OBLAÈNO;NORMALEN;SUHO;HRAPAV  ASFALT / BETON;100837;464203;2;UDELEŽENEC;3;ŽENSKI;LJUBLJANA;SLOVENIJA;LAŽJA TELESNA POŠKODBA;PEŠEC;NEZNANO;0;0;,00;,00
362;Z MATERIALNO ŠKODO;MARIBOR;09.01.2019;13;NE;CESTA;AVTOCESTA;000A1;ŠENTILJ-MB-CE-LJ-PO-SRMIN;00071;DRAGUÈOVA-MB PTUJSKA C.;500;CESTA;NEUSTREZNA VARNOSTNA RAZDALJA;NALETNO TRÈENJE;JASNO;NORMALEN;SUHO;ZGLAJEN ASFALT / BETON;159445;553212;1;POVZROÈITELJ;22;MOŠKI;;ROMUNIJA;BREZ POŠKODBE;VOZNIK OSEBNEGA AVTOMOBILA;DA;03;01;,00;,00
362;Z MATERIALNO ŠKODO;MARIBOR;09.01.2019;13;NE;CESTA;AVTOCESTA;000A1;ŠENTILJ-MB-CE-LJ-PO-SRMIN;00071;DRAGUÈOVA-MB PTUJSKA C.;500;CESTA;NEUSTREZNA VARNOSTNA RAZDALJA;NALETNO TRÈENJE;JASNO;NORMALEN;SUHO;ZGLAJEN ASFALT / BETON;159445;553212;2;UDELEŽENEC;34;MOŠKI;LENART;SLOVENIJA;BREZ POŠKODBE;VOZNIK OSEBNEGA AVTOMOBILA;DA;14;01;,00;,00
363;Z LAŽJO TELESNO POŠKODBO;MARIBOR;06.01.2019;12;DA;NASELJE;NASELJE Z ULIÈNIM SISTEMOM;64033;MARIBOR;00258;LJUBLJANSKA ULICA;5;CESTA;PREMIKI Z VOZILOM;BOÈNO TRÈENJE;OBLAÈNO;NORMALEN;MOKRO;HRAPAV  ASFALT / BETON;156748;550101;1;UDELEŽENEC;40;MOŠKI;MARIBOR;SLOVENIJA;LAŽJA TELESNA POŠKODBA;VOZNIK OSEBNEGA AVTOMOBILA;DA;20;10;,00;,00
363;Z LAŽJO TELESNO POŠKODBO;MARIBOR;06.01.2019;12;DA;NASELJE;NASELJE Z ULIÈNIM SISTEMOM;64033;MARIBOR;00258;LJUBLJANSKA ULICA;5;CESTA;PREMIKI Z VOZILOM;BOÈNO TRÈENJE;OBLAÈNO;NORMALEN;MOKRO;HRAPAV  ASFALT / BETON;156748;550101;2;UDELEŽENEC;41;ŽENSKI;MARIBOR;SRBIJA;LAŽJA TELESNA POŠKODBA;POTNIK;DA;0;0;,00;,00
363;Z LAŽJO TELESNO POŠKODBO;MARIBOR;06.01.2019;12;DA;NASELJE;NASELJE Z ULIÈNIM SISTEMOM;64033;MARIBOR;00258;LJUBLJANSKA ULICA;5;CESTA;PREMIKI Z VOZILOM;BOÈNO TRÈENJE;OBLAÈNO;NORMALEN;MOKRO;HRAPAV  ASFALT / BETON;156748;550101;3;POVZROÈITELJ;34;ŽENSKI;MARIBOR;SLOVENIJA;BREZ POŠKODBE;VOZNIK OSEBNEGA AVTOMOBILA;DA;16;03;,00;,00
363;Z LAŽJO TELESNO POŠKODBO;MARIBOR;06.01.2019;12;DA;NASELJE;NASELJE Z ULIÈNIM SISTEMOM;64033;MARIBOR;00258;LJUBLJANSKA ULICA;5;CESTA;PREMIKI Z VOZILOM;BOÈNO TRÈENJE;OBLAÈNO;NORMALEN;MOKRO;HRAPAV  ASFALT / BETON;156748;550101;4;UDELEŽENEC;11;MOŠKI;PESNICA;SLOVENIJA;LAŽJA TELESNA POŠKODBA;POTNIK;DA;0;0;,00;,00
364;Z LAŽJO TELESNO POŠKODBO;MARIBOR;09.01.2019;17;DA;CESTA;GLAVNA CESTA;00001;VIÈ-DRAVOGRAD-MB-MIKLAVŽ;00726;MB-KOR.MOST-C.PROLETAR.B.;450;CESTA;OSTALO;OSTALO;NEZNANO;NEZNANO;OSTALO;HRAPAV  ASFALT / BETON;157427;548374;1;UDELEŽENEC;21;MOŠKI;LJUTOMER;SLOVENIJA;LAŽJA TELESNA POŠKODBA;PEŠEC;NE;0;0;,00;,00
365;Z MATERIALNO ŠKODO;MARIBOR;10.01.2019;18;DA;NASELJE;NASELJE Z ULIÈNIM SISTEMOM;64033;MARIBOR;00239;LEDINA;1;KRIŽIŠÈE;NEPRAVILNA STRAN / SMER VOŽNJE;TRÈENJE V STOJEÈE / PARKIRANO VOZILO;JASNO;REDEK;MOKRO;ZGLAJEN ASFALT / BETON;153432;550754;1;POVZROÈITELJ;59;MOŠKI;MARIBOR;SLOVENIJA;BREZ POŠKODBE;VOZNIK OSEBNEGA AVTOMOBILA;DA;24;11;,00;,00
365;Z MATERIALNO ŠKODO;MARIBOR;10.01.2019;18;DA;NASELJE;NASELJE Z ULIÈNIM SISTEMOM;64033;MARIBOR;00239;LEDINA;1;KRIŽIŠÈE;NEPRAVILNA STRAN / SMER VOŽNJE;TRÈENJE V STOJEÈE / PARKIRANO VOZILO;JASNO;REDEK;MOKRO;ZGLAJEN ASFALT / BETON;153432;550754;2;UDELEŽENEC;32;MOŠKI;MARIBOR;SLOVENIJA;BREZ POŠKODBE;VOZNIK OSEBNEGA AVTOMOBILA;DA;14;04;,00;,00
366;Z LAŽJO TELESNO POŠKODBO;NOVA GORICA;11.01.2019;20;DA;CESTA;REGIONALNA CESTA II. REDA;00444;RAZDRTO-SELO-ROŽNA DOLINA;00347;SELO-NOVA GORICA;9950;CESTA;OSTALO;PREVRNITEV VOZILA;JASNO;NORMALEN;SUHO;HRAPAV  ASFALT / BETON;90157;400086;1;POVZROÈITELJ;52;MOŠKI;MARIBOR;SLOVENIJA;BREZ POŠKODBE;KOLESAR;NE;0;0;,00;,00
366;Z LAŽJO TELESNO POŠKODBO;NOVA GORICA;11.01.2019;20;DA;CESTA;REGIONALNA CESTA II. REDA;00444;RAZDRTO-SELO-ROŽNA DOLINA;00347;SELO-NOVA GORICA;9950;CESTA;OSTALO;PREVRNITEV VOZILA;JASNO;NORMALEN;SUHO;HRAPAV  ASFALT / BETON;90157;400086;2;UDELEŽENEC;24;MOŠKI;AJDOVŠÈINA;SLOVENIJA;LAŽJA TELESNA POŠKODBA;VOZNIK OSEBNEGA AVTOMOBILA;DA;00;01;,00;,00
367;Z MATERIALNO ŠKODO;MARIBOR;07.01.2019;16;DA;NASELJE;NASELJE Z ULIÈNIM SISTEMOM;64033;MARIBOR;00415;PTUJSKA CESTA;155;PARKIRNI PROSTOR;PREMIKI Z VOZILOM;TRÈENJE V STOJEÈE / PARKIRANO VOZILO;OBLAÈNO;REDEK;MOKRO;HRAPAV  ASFALT / BETON;154056;552018;1;POVZROÈITELJ;59;MOŠKI;MARIBOR;SLOVENIJA;BREZ POŠKODBE;VOZNIK OSEBNEGA AVTOMOBILA;DA;24;11;,00;,00
367;Z MATERIALNO ŠKODO;MARIBOR;07.01.2019;16;DA;NASELJE;NASELJE Z ULIÈNIM SISTEMOM;64033;MARIBOR;00415;PTUJSKA CESTA;155;PARKIRNI PROSTOR;PREMIKI Z VOZILOM;TRÈENJE V STOJEÈE / PARKIRANO VOZILO;OBLAÈNO;REDEK;MOKRO;HRAPAV  ASFALT / BETON;154056;552018;2;UDELEŽENEC;43;MOŠKI;MARIBOR;SRBIJA;BREZ POŠKODBE;OSTALO;NE;0;0;,00;,00
368;Z LAŽJO TELESNO POŠKODBO;RADLJE OB DRAVI;14.01.2019;12;NE;CESTA;GLAVNA CESTA;00001;VIÈ-DRAVOGRAD-MB-MIKLAVŽ;00242;RADLJE;100;CESTA;NEUPOŠTEVANJE PRAVIL O PREDNOSTI;NALETNO TRÈENJE;JASNO;NORMALEN;SUHO;HRAPAV  ASFALT / BETON;163375;516429;1;UDELEŽENEC;48;ŽENSKI;MARIBOR;SLOVENIJA;LAŽJA TELESNA POŠKODBA;POTNIK;DA;0;0;,00;,00
368;Z LAŽJO TELESNO POŠKODBO;RADLJE OB DRAVI;14.01.2019;12;NE;CESTA;GLAVNA CESTA;00001;VIÈ-DRAVOGRAD-MB-MIKLAVŽ;00242;RADLJE;100;CESTA;NEUPOŠTEVANJE PRAVIL O PREDNOSTI;NALETNO TRÈENJE;JASNO;NORMALEN;SUHO;HRAPAV  ASFALT / BETON;163375;516429;2;POVZROÈITELJ;42;MOŠKI;VELENJE;SLOVENIJA;LAŽJA TELESNA POŠKODBA;VOZNIK OSEBNEGA AVTOMOBILA;DA;25;00;,00;,00
368;Z LAŽJO TELESNO POŠKODBO;RADLJE OB DRAVI;14.01.2019;12;NE;CESTA;GLAVNA CESTA;00001;VIÈ-DRAVOGRAD-MB-MIKLAVŽ;00242;RADLJE;100;CESTA;NEUPOŠTEVANJE PRAVIL O PREDNOSTI;NALETNO TRÈENJE;JASNO;NORMALEN;SUHO;HRAPAV  ASFALT / BETON;163375;516429;3;UDELEŽENEC;44;MOŠKI;MARIBOR;SLOVENIJA;LAŽJA TELESNA POŠKODBA;VOZNIK OSEBNEGA AVTOMOBILA;DA;19;10;,00;,00
368;Z LAŽJO TELESNO POŠKODBO;RADLJE OB DRAVI;14.01.2019;12;NE;CESTA;GLAVNA CESTA;00001;VIÈ-DRAVOGRAD-MB-MIKLAVŽ;00242;RADLJE;100;CESTA;NEUPOŠTEVANJE PRAVIL O PREDNOSTI;NALETNO TRÈENJE;JASNO;NORMALEN;SUHO;HRAPAV  ASFALT / BETON;163375;516429;4;UDELEŽENEC;63;MOŠKI;RADLJE OB DRAVI;SLOVENIJA;BREZ POŠKODBE;OSTALO;DA;0;0;,00;,00
368;Z LAŽJO TELESNO POŠKODBO;RADLJE OB DRAVI;14.01.2019;12;NE;CESTA;GLAVNA CESTA;00001;VIÈ-DRAVOGRAD-MB-MIKLAVŽ;00242;RADLJE;100;CESTA;NEUPOŠTEVANJE PRAVIL O PREDNOSTI;NALETNO TRÈENJE;JASNO;NORMALEN;SUHO;HRAPAV  ASFALT / BETON;163375;516429;5;UDELEŽENEC;20;ŽENSKI;;SLOVENIJA;LAŽJA TELESNA POŠKODBA;POTNIK;DA;0;0;,00;,00
369;Z LAŽJO TELESNO POŠKODBO;RADOVLJICA;14.01.2019;12;NE;CESTA;REGIONALNA CESTA;00209;LESCE-BLED-BOH.BIS-JEZERO;01092;BOH.BISTRICA-JEZERO;1100;CESTA;NEPRILAGOJENA HITROST;BOÈNO TRÈENJE;JASNO;REDEK;MOKRO;HRAPAV  ASFALT / BETON;126011;418654;1;UDELEŽENEC;76;MOŠKI;RADOVLJICA;SLOVENIJA;LAŽJA TELESNA POŠKODBA;VOZNIK OSEBNEGA AVTOMOBILA;DA;56;07;,00;,00
369;Z LAŽJO TELESNO POŠKODBO;RADOVLJICA;14.01.2019;12;NE;CESTA;REGIONALNA CESTA;00209;LESCE-BLED-BOH.BIS-JEZERO;01092;BOH.BISTRICA-JEZERO;1100;CESTA;NEPRILAGOJENA HITROST;BOÈNO TRÈENJE;JASNO;REDEK;MOKRO;HRAPAV  ASFALT / BETON;126011;418654;2;POVZROÈITELJ;20;MOŠKI;;FRANCIJA;BREZ POŠKODBE;VOZNIK OSEBNEGA AVTOMOBILA;DA;01;04;,00;,00
370;Z MATERIALNO ŠKODO;PESNICA;07.01.2019;13;DA;NASELJE;NASELJE BREZ ULIÈNEGA SISTEMA;65041;SPODNJE DOBRENJE;0;NI ODSEKOV;41;PARKIRNI PROSTOR;PREMIKI Z VOZILOM;TRÈENJE V STOJEÈE / PARKIRANO VOZILO;OBLAÈNO;NORMALEN;MOKRO;HRAPAV  ASFALT / BETON;162687;551301;1;POVZROÈITELJ;33;MOŠKI;RUŠE;SLOVENIJA;BREZ POŠKODBE;VOZNIK TOVORNEGA VOZILA;DA;08;02;,00;,00
370;Z MATERIALNO ŠKODO;PESNICA;07.01.2019;13;DA;NASELJE;NASELJE BREZ ULIÈNEGA SISTEMA;65041;SPODNJE DOBRENJE;0;NI ODSEKOV;41;PARKIRNI PROSTOR;PREMIKI Z VOZILOM;TRÈENJE V STOJEÈE / PARKIRANO VOZILO;OBLAÈNO;NORMALEN;MOKRO;HRAPAV  ASFALT / BETON;162687;551301;2;UDELEŽENEC;53;MOŠKI;;HRVAŠKA;BREZ POŠKODBE;OSTALO;NE;0;0;,00;,00
371;Z MATERIALNO ŠKODO;LJUTOMER;10.01.2019;23;DA;CESTA;REGIONALNA CESTA III. REDA;00713;LJUTOMER - SAVCI - PTUJ;04910;LJUTOMER-SAVCI-PTUJ;800;CESTA;NEPRILAGOJENA HITROST;OSTALO;NEZNANO;REDEK;SUHO;ZGLAJEN ASFALT / BETON;153160;591593;1;POVZROÈITELJ;30;MOŠKI;LJUTOMER;SLOVENIJA;BREZ POŠKODBE;VOZNIK OSEBNEGA AVTOMOBILA;DA;09;11;,00;,00
372;Z MATERIALNO ŠKODO;LJUBLJANA;11.01.2019;14;NE;CESTA;AVTOCESTA;000A1;ŠENTILJ-MB-CE-LJ-PO-SRMIN;00647;ŠENTJAKOB-LJ ZADOBROVA;500;CESTA;NEUSTREZNA VARNOSTNA RAZDALJA;NALETNO TRÈENJE;JASNO;GOST;SUHO;HRAPAV  ASFALT / BETON;104860;468286;1;POVZROÈITELJ;43;ŽENSKI;MOZIRJE;SLOVENIJA;BREZ POŠKODBE;VOZNIK OSEBNEGA AVTOMOBILA;DA;20;00;,00;,00
372;Z MATERIALNO ŠKODO;LJUBLJANA;11.01.2019;14;NE;CESTA;AVTOCESTA;000A1;ŠENTILJ-MB-CE-LJ-PO-SRMIN;00647;ŠENTJAKOB-LJ ZADOBROVA;500;CESTA;NEUSTREZNA VARNOSTNA RAZDALJA;NALETNO TRÈENJE;JASNO;GOST;SUHO;HRAPAV  ASFALT / BETON;104860;468286;2;UDELEŽENEC;43;ŽENSKI;PTUJ;SLOVENIJA;BREZ POŠKODBE;VOZNIK OSEBNEGA AVTOMOBILA;DA;25;08;,00;,00
372;Z MATERIALNO ŠKODO;LJUBLJANA;11.01.2019;14;NE;CESTA;AVTOCESTA;000A1;ŠENTILJ-MB-CE-LJ-PO-SRMIN;00647;ŠENTJAKOB-LJ ZADOBROVA;500;CESTA;NEUSTREZNA VARNOSTNA RAZDALJA;NALETNO TRÈENJE;JASNO;GOST;SUHO;HRAPAV  ASFALT / BETON;104860;468286;3;POVZROÈITELJ;30;MOŠKI;LJUBLJANA;SLOVENIJA;BREZ POŠKODBE;VOZNIK OSEBNEGA AVTOMOBILA;DA;10;00;,00;,00
